uid;code;type;speaker;text;next
A1;Treya appears left;;;;
A2;Fled appears farright;;;;
A3;;say;Fled;Relajate, te juro por mis espirales que nadie nos sigue.;
A4;;say;Fled;Se te romperá el cuello de tanto mirarte el trasero.;
A5;;say;Treya;¿Te parece raro que me preocupe?;
A6;;say;Treya;Estamos en territorio enemigo.;
A7;;say;Treya;Tu eres el que debería estar menos relajado.;
A8;;say/question;Fled;¿Nuestros enemigos? La Federación no es nuestra enemiga.;
A9;;say;Fled;Tienes que saber quienes son tus verdaderos combatientes.;
A10;;say;Fled;Lo que yo decía, la paranoia te consumirá antes que un puñal.;
A11;;say;Treya;…;
A12;;say;Treya;Lo que tu digas Fled.;
A13;;say;Treya;Duerme, en pocos [s]latidos[/s] cruzaremos el paso y no podemos fallar.;
A14;;say;Treya;Esta misión es crucial, somos la esperanza del pueblo Jaleano.;
A15;;say;Treya;¿Crees que podrás tomarte esto en serio por una vez?;
A16;;say/question;Fled;La esperanza, eh…;
A17;;say;Fled;¿De verdad lo crees, chiquilla?;
A18;;say;Treya;…;
A19;camera flash;;;;
A20;;say;Treya;¿Chiquilla?;
A21;;say;Fled;Somos una mano en una partida muy larga.;
A22;;say;Fled;¿Ves esto, tu también la tienes, verdad?;
A23;UI off;;;;
A24;Boceto_1 bg;;;;
A25;Game wait 2;;;;
A26;;say;Fled;¿Una recompensa por lo útiles que somos?;
A27;Bg vanish;;;;
A28;Game wait 2;;;;
A29;;say;Fled;No;
A30;;say;Fled;Más bien una prueba de lo prescindibles que somos.;
A31;;say;Fled;Somos soldados de octavo grado.;
A32;;say;Treya;Esta misión no la puede hacer cualquiera.;
A33;;say;Treya;Fuimos elegidos por Quion para infiltrarnos.;
A34;;say;Treya;Que tu te subestimes no es mi maldito problema.;
A35;;say;Fled;No dejes que ese viejo zorro de Quion te coma la cabeza con humo y ceniza.;
A36;;say;Fled;Él solo busca cosechar la gloria que tú siembres con tu sangre.;
A37;;say;Treya;¿Esa es tu excusa para ser un cobarde e inútil?;
A38;;say;Fled;Ese es tu problema, ¿sabes?;
A39;;say;Fled;Piensas que todo lo que dicen tus superiores es la verdad absoluta.;
A40;;say;Fled;Y el poder tiene la mala costumbre de volver necia a la gente.;
A41;;say;Fled;Y los necios con poder son los que más vidas ajenas desperdician;
A42;;say;Fled;¿Quieres obedecer a necios?;
A43;;say;Treya;Mis superiores son la autoridad, no la verdad.;
A44;;say;Fled;Bien por que si no, te convertirias en idiota.;
A45;;say;Fled;obedecer a necios es de idiotas.;
A46;;say;Treya;¿Puedes parar de hablar?;
A47;;say;Treya;No dices nada son sentido.;
A48;;say;Fled;¿Serás tu la que nos brinde reflexiones y humor?;
A49;;say;Fled;El mundo sería demasiado sombrío.;
A50;;say;Fled;Tienes el ceño tan fruncido que creo que te explotará la cara.;
A51;;say;Treya;Ojala te lleve el [s]Mal morado[/s].;
A52;;say;Fled;¡Ahí está! Esa mirada gélida que podría congelar un desierto en verano.;
A53;;say;Fled;¿Por que eres así, chiquilla?;
A54;;say;Fled;Me intriga.;
A55;;think;Treya;Lo ha vuelto a hacer, ¿chiquilla…?;A58|A65
A56;;choice/Soft;;Reprenderle | Dejarlo pasar;
A57;;;;;
A58;;say;Treya;Repite eso.;
A59;;say;Fled;¿Eh..?;
A60;;say;Treya;Llamame chiquilla de nuevo y afilaré las dagas con tu lengua.;
A61;Fled affinity +10;;;;
A62;;say;Fled;¡De acuerdo, de acuerdo! Treya está bien.;A66
A63;;say;Fled;Es un nombre gracioso.;
A64;;;;;
A65;Fled affinity -10;;;;
A66;;say;Treya;…;
A67;;say;Treya;Si prefieres gastar saliva a descansar, Fled, adelante.;
A68;;say;Treya;Echaré un último vistazo.;
A69;;say;Fled;No apuñales a un conejillo, pensando que es un enemigo.;
A70;;say;Fled;Sería demasiado triste.;
