uid;code;type;speaker;text;next
A1;Treya appears left;;;;
A2;Fled appears right;;;;
A3;;say;Fled;¿Ya has vuelto?;
A4;;say;Fled;¿Tanto me echas de menos?;
A5;camera shake;;;;
A6;;say;Treya;Mi locura no ha llegado tan lejos.;
A7;;say;Treya;Quería preguntarte una cosa.;
A8;;choice/soft;;Sobre la mision|Sobre Fled|Sobre el pueblo|Solo miraba;M10|F65|A115|A141
A9;;;;;
M10;;say;Treya;Repasemos una vez más el plan;
M11;;say;Fled;¿Ha vuelto Treya La Paranoica?;
DEC1;camera shake;;;;
M12;;say;Treya;Me drenas la energía…;
M13;;say;Fled;Esta bien, Esta bien...;
M14;;say;Fled;Déjame buscar el mapa;
DEC1;UI off;;;;
DEC2;FledMap_1 bg;;;;
DEC3;time wait 1s;;;;
M15;;say;Fled;Salimos hace más o menos 2 lunas de la avanzada Jaleana;
M16;;say;Fled;Esto de aquí, la de la cruz roja;
M17;;say;Fled;Como echo de menos mi hornillo.;
M18;;say;Fled;Estoy arto de la carne de caza asada.;
M19;;say;Treya;Fled…;
M20;;say;Fled;Oh, si, el plan.;
M21;;say;Fled;Entonces… Hemos seguido todo el camino hasta llegar a Guardoblanco;
DEC4;FledMap_2 trans blur;;;;
M22;;say;Fled;Ahora esperaremos a que entre por completo la noche para que comience la [s]verdadera oscuridad[/s].;
M23;;say;Fled;En cuanto tengamos la oportunidad, cruzaremos la frontera que tenemos con la Federación Marcia.;
M24;;say;Fled;Una vez ahí, seguiremos el camino arras de montaña y llegaremos aquí, al valle marcado por un circulo.;
DEC5;FledMap_3 trans blur;;;;
M25;;say;Fled;Desde ahi nos adentraremos al Gran Conducto.;
DEC6;UI off;;;;
DEC7;Bg vanish;;;;
DEC8;time wait 1s;;;;
M26;;say;Treya;El Conducto será nuestro de nuevo.;
M27;;say;Fled;Bueno, eso no nos importa por ahora.;
DEC9;UI off;;;;
DEC10;FledMap_3 Bg;;;;
DEC11;time wait 1s;;;;
M28;;say;Fled;De ahí directos al Palacio Dorado;
DEC12;FledMap_4 trans blur;;;;
M29;;say;Fled;Y solo Tal sabe como deberemos proceder ahí.;
DEC13;UI off;;;;
DEC14;Bg vanish;;;;
DEC15;time wait 1s;;;;
M30;;say;Treya;Bien. Lo haremos bien.;
M31;;say;Fled;Sin duda alguna, Treya la Feroz.;MAS1
A32;;;;;
A33;;;;;
MAS1;;say/question;Fled;En fin ¿Algo más?;
A35;;choice/soft;;Sobre Fled|Sobre el pueblo.|Eso es todo.;F65|A115|A46
A36;;;;;
MAS2;;say/question;Fled;En fin ¿Algo más?;
A38;;choice/soft;;Sobre la misión|Sobre el pueblo.|Eso es todo.;M10|A115|A51
A39;;;;;
MAS3;;say/question;Fled;En fin ¿Algo más?;
A41;;choice/soft;;Sobre Fled.|Sobre la misión.|Eso es todo.;F65|M10|A46
A42;;;;;
MAS4;;say/question;Fled;En fin ¿Algo más?;
A44;;choice/soft;;Sobre la misión|Sobre el pueblo|Eso es todo.;M10|A115|A60
A45;;;;;
A46;;say;Fled;No te alejes demasiado.;
A47;;say;Fled;Deberíamos descansar antes de salir.;
A48;;say;Fled;Además... me da miedo estar solo.;
A49;;say;Fled;Este bosque me hiela la sangre.;END
A50;;;;;
A51;;say;Fled;Ya parecía un interrogatorio, Treya La Mortifera.;
A52;;say;Fled;Je je...;
A53;;say;Fled;...;END
A54;;;;;
A55;;say;Fled;La misión saldrá bien Treya.;
A56;;say;Fled;Quiero decir, cuando es de noche, empieza la verdadera oscuridad;
A57;;say;Fled;A no ser que seamos ruidosos, nadie nos verá.;
A58;;say;Fled;¡Compartiremos la gloria!;END
A59;;;;;
A60;;say/question;Fled;¿Sólo era eso?;
