uid;code;type;speaker;text;next
A1;Fled appears right;;;;
A2;Treya appears left;;;;
A3;;say;Fled;¿Mi pipa?;
A4;;say;Fled;Oh… Gracias.;
A5;;choice/soft;;Si no la quieres, dámela.|¿Qué te pasa?;
A6;;;;;
A7;;say;Treya;Guau.;
A8;;say;Treya;Menuda reacción.;
A9;;say;Treya;¿No estabas buscando tu pipa hace un momento?;
A10;;say;Fled;No exactamente.;
A11;;say;Fled;Pensaba que esta vez la había perdido de verdad.;
A12;;say;Fled;Que no la volvería a ver.;
A13;;say;Fled;Por un momento me he alegrado.;
A14;;say;Fled;Esta pipa me persigue.;
A15;;say;Treya;Definitivamente te has vuelto loco.;
A16;;say;Fled;Treya, lo digo en serio.;
A17;;say;Treya;Llevas un rato riéndote de mí.;
A18;;say;Treya;¿Y ahora te molesta un comentario?;
A19;;say;Fled;…;
A20;;say;Fled;Tienes razón. Ha tenido gracia.;
A21;;say;Fled;Puede que realmente haya caído en la locura.;
A22;;think;Treya;Que raro, no le suelo ver así…;
A23;;think;Treya;Bueno, nunca suele ser así.;
A24;;choice/moderada;;Preguntar por la pipa.|Dejarlo estar.;
A25;;;;;
A26;;say;Treya;¿A qué te refieres con que te persigue?;
A27;;say;Fled;…;
A28;;say;Fled;Esta pipa lleva conmigo desde mi decimoséptimo Gran Latido.;
A29;;say;Fled;Me la dio mi padre.;
A30;;say;Fled;De pequeño siempre le veía fumar de una pipa.;
A31;;say;Fled;Le pedía unacalada y siemrpe me decía que no, que era joven.;
A32;;say;Fled;Y no fue hasta los 17 que me regaló esta.;
A33;;say;Fled;Como si fuera algo sagrado.;
A34;;say;Fled;Siempre le hacía gracia el aspecto que tiene.;
A35;;say;Fled;No sé de dónde sacó tiempo para tallarla así.;
A36;;say;Treya;¿Tu padre hizo esta pipa?;
A37;;say;Treya;Es increíble, Fled.;
A38;;say;Treya;¿Era carpintero?;
A39;;say;Fled;…;
A40;;say;Fled;Mi padre era muchas cosas.;
A41;;say;Fled;Carpintero, entre ellas, supongo.;
A42;;say;Fled;La verdad es que no lo sé con certeza.;
A43;;think;Treya;Curioso. No sabe a qué se dedicaba su padre.;
A44;;think;Treya;Aunque parece que se llevaban bien.;
A46;;;;;
A47;;;;;
A48;;say;Treya;Está bien, no hace falta que me cuentes nada.;
A49;;say;Fled;…;
A50;;say;Fled;Sí.;
A51;;say;Fled;Claro.;
A52;;say;Fled;…;
A53;;say;Fled;Está pipa debería estar enterrada con su dueño.;
A54;;say;Treya;¿Enterrada?;
A55;;say;Fled;Ahora la pipa aquí está;
A56;;say;Fled;Y aquí estoy yo.;
A57;;say;Treya;¿Pero, la pipa no era tuya?;
A58;;say;Fled;¿No has dicho que no hace falta que te cuente nada?;
A59;Fled affinity -10;say;Fled;;
A60;;say;Fled;Pues ahora, ya no quiero.;
A61;;say;Treya;Fled, eso…;
A62;;;;ruido;
A63;;say;Treya;La pipa era de....;
A64;;;;ruido;
A65;;;;Hay algo ahí Treya.;
A66;;;;;
A67;;choice/soft;;Seguir preguntando.|No presionar.;
A68;;;;;
A69;;say;Treya;¿Os llevabais bien?;
A70;Fled affinity +5;;;;
A71;;say;Fled;Si, eh...;
A72;;say;Fled;Mi padre es la persona más bondadosa que he conocido.;
A73;;say;Fled;Nunca le vi enfadado. Jamás.;
A74;;say;Fled;Sabía manejar cualquier cosa con calma.;
A75;;say;Fled;Y siempre estaba sonriente.;
A76;;say;Fled;A pesar de todo, siempre sonreía.;
A77;;say;Fled;"Me decía: ""si todo el mundo te ve feliz, sabrán que eres duro y valiente"".";
A78;;say;Fled;Me protegía de todo. De los animales, de las esporas, de la gente.;
A79;;say;Fled;Sobre todo de la gente.;
A80;;say;Fled;Hasta el final me protegió de la gente.;
A81;;say;Fled;…;
A82;;choice/soft;;¿Qué le pasó?|No preguntar.;
A83;;;;;
A84;Fled affinity +10;;;;
A85;;say;Fled;Tiene que ver con la pipa...;
A86;;say;Fled;Verás, en mi 17 Gran Latido, mi padre…;
A87;;sfx;*ruido*;;
A88;;say;Fled;…;
A89;;say;Fled;Mi padre…;
A90;;sfx;*ruido, más alto*;;
A91;;say;Fled;Oh, vamos. Iba a contar algo emotivo.;
A92;;;;;
A93;;say;Treya;Lo importante es que estuvo ahí.;
A95;;say;Treya;La familia siempre debería sacrificar todo por los suyos.;
A96;;say;Treya;Siempre debería.;
A97;;say;Fled;…;
A98;;say;Fled;Sí.;
A99;;say;Fled;Estuvo ahí.;
A100;;say;Fled;Hasta que no lo estuvo.;
A101;;say;Treya;…;
A102;;say;Fled;Oye, olvídalo.;
A103;;say;Fled;No sé ni por qué he sacado el tema.;
A104;;say;Fled;¿Por que no hablamos un poco de ti?;
A105;;say;Fled;Esa mecha blanca que tienes…;
;;;;;
A106;;say;Fled;…;
A107;;say;Fled;La mecha…;
A108;;;;;
A109;;say;Fled;Oh, vamos.;
A110;;say;Fled;¡Ahora iba ella!;
A111;;;;;
A112;;say;Fled;Si la quieres es tuya.;
A113;;say;Treya;¿Cómo?;
A114;;say;Treya;Espera, era broma Fled.;
A115;;say;Fled;Esa pipa está maldita, me persigue haya donde vaya.;
A116;;say;Fled;Aunque tengas la pipa, acabará a mi lado.;
A117;;say;Fled;Hagas lo que hagas, vayas donde vayas.;
A118;;say;Fled;De alguna u otra forma siempre acabará volviendo a mi.;
A119;;say;Fled;Pero si quieres intentarlo, bien, me alegro que quieras ayudarme.;
A120;;say;Fled;Tenla.;
A121;game setflag Treya_has_Pipe;;;;
A122;game add Pipadefumar;;;;
A123;;say;Treya;Esto…;
A124;;say;Treya;Muchas grácias Fled.;
A125;;think;Treya;Ya que me ha dado la pipa…;
A126;;think;Treya;Creo que sería justo preguntar sobre ella.;
A127;;think;Treya;…;
