uid;code;type;speaker;text;next
A1;Treya appears left;;;;
A2;Fled appears right;;;;
A3;;say;Fled;Treya la paranoica.;
A4;;say;Fled;No me acaba de convencer.;
A5;;say;Fled;¿Qué te parece a ti?;
A6;;say/question;Treya;¿A qué viene eso ahora, Fled?;
A7;Sfx play FledLaugh01;;;;
A8;;say;Fled;Relájate, te juro por mis espirales que nadie nos sigue.;
A9;;say;Fled;Se te romperá el cuello de tanto mirarte el trasero.;
A10;;say;Treya;¿Te parece raro que me preocupe?;
A11;;say;Treya;Estamos en territorio enemigo.;
A12;;say;Treya;Tú eres el que debería estar menos relajado.;
A13;camera flash;;;;
A14;;say/question;Fled;¿Nuestros enemigos? La Federación no es nuestra enemiga.;
A15;;say;Fled;Y aunque lo fuera, nadie nos encontraría aquí.;
A16;;say;Treya;¿Nadie?;
A17;;say;Treya;Estamos al lado del camino que lleva a Guardoblanco.;
A18;;say;Treya;Lo que me parece raro es que no nos hayan capturado.;
A19;camera zoom Fled;;;;
A20;;say;Fled;¿Qué mercancía llevamos?;
A21;camera zoom Treya;;;;
A22;;say;Treya;Barniz especial, cuero tratado y algunas planchas de cobre.;
A23;camera zoom Fled;;;;
A24;;say;Fled;¿Por qué viajamos de noche?;
A25;camera zoom Treya;;;;
A26;;say;Treya;Hay menos bandidos por los caminos.;
A27;camera zoom Fled;;;;
A28;;say;Fled;¿Por quién lucháis?;
A29;camera zoom Treya;;;;
A30;;say;Treya;De quien me brinde comida y refugio.;
A31;camera zoom Fled;;;;
A32;camera flash;;;;
A33;;say;Fled;¿Brindar?;
A34;;say;Fled;¿Crees que una paleta de pueblo diría algo así?;
A35;camera zoom Treya;;;;
A36;;say;Treya;De quien me ofrezca comida y refugio.;
A37;camera zoom Fled;;;;
A38;;say;Fled;…;
A39;camera zoom Treya;;;;
A40;UI wait 1;;;;
A41;camera shake;;;;
A42;;say;Treya;Se-señor.;
A43;camera reset;;;;
A44;;say;Fled;Casi perfecto, te sabes el discurso de memoria.;
A45;;say;Fled;Lo único que te falta es no decirlo como si tuvieras una guarnición metida por el…;
A46;camera flash;;;;
A47;;say;Treya;Menuda sarta de sandeces.;
A48;;say;Treya;Mentir de esa manera tan obvia nos delatará.;
A49;;say;Fled;El arte del subterfugio es tan importante como el de la espada o la lanza.;
A50;;say;Fled;Míralo como una forma de combatir.;
A51;;say;Fled;Las palabras son estocadas.;
A52;;say;Fled;La credibilidad de la gente es su postura.;
A53;;say;Fled;Si sabes hacer fintas correctas, puedes desestabilizarlos.;
A54;;say;Fled;Y asestarles el golpe de gracia.;
A55;camera zoom Treya;;;;
A56;UI wait 1;;;;
A57;;say;Treya;No lo veo para nada lo mismo.;
A58;camera reset;;;;
A59;;say;Fled;Porque no piensas con libertad.;
A60;;say;Fled;Dime, ¿qué hay en tu mente?;
A61;;say;Fled;¿Guerra, muerte, hambre…?;
A62;camera flash;;;;
A63;;say/exclamation;Fled;¿…venganza?;
A64;;say;Treya;No entraré en tus juegos, Fled.;
A65;;say;Treya;Canaliza esa energía que tienes para dentro de unos [s]latidos[/s].;
A66;;say;Treya;¿Crees que serás capaz de dormir y cerrar la boca durante tanto tiempo?;
A67;;say;Fled;Dormir, será sencillo…;
A68;Sfx play FledLaugh02;;;;
A69;;say;Fled;Pero callarme llevo milenios intentándolo y tampoco me ha ido bien;
A70;;say;Treya;Céntrate Fled. Por una sola vez.;
A71;;say;Treya;Céntrate.;
A72;;say;Treya;No podemos cometer ni un error.;
A73;;say/question;Fled;Te crees que somos imprescindibles, ¿verdad?;
A74;;say;Treya;No te apures, la juventud es sinónimo de credulidad.;
A75;;say/question;Fled;Cuánta importancia le das, chiquilla.;
A76;;say;Treya;…;
