uid;code;type;speaker;text;next
A1;Treya appears center;;;;
A2;;say/question;Treya;Una acumulación de [b]Esporas[/b].;
A3;;say;Treya;Siempre suelen aparecer así, de golpe.;
A4;;say;Treya;En momentos y lugares un poco aleatorios.;
A5;;say;Treya;Aunque… realmente es extraño verlas aquí.;
A6;;say;Treya;En un camino apartado y de noche.;
A7;;say;Treya;Normalmente son frecuentes cerca de la gente. ¿no?;
A8;;say;Treya;Quizá un animal se haya herido y las haya atraido.;
A9;;say;Treya;Pero no veo ninguna marca de sangre.;
A10;;say;Treya;…;
A11;camera flash;;;;
A12;;say;Treya;¿Los animales pueden atraer Esporas de Voluntad?;
A13;;say;Treya;Nunca me lo habia planteado.;
A14;;say;Treya;…;
A15;camera zoom Treya;;;;
A16;;say;Treya;Espera.;
A17;;say;Treya;Eso es…;
A18;camera shake;;;;
A19;;say;Treya;¿Mi pulso?;
A20;camera reset;;;;
A21;;say;Treya;Mi pulso está acelerado.;
A22;;say/question;Treya;¿Soy yo o viene de fuera?;
A23;;say;Treya;No… Sin duda es mi pulso.;
A24;;say;Treya;Tiene sentido, supongo.;
A25;;say;Treya;Llevar días pensando en esta misión no es precisamente tranquilizador.;
A26;;say;Treya;El problema es que si me pongo nerviosa…;
A27;;say/question;Treya;¿No se supone que atraería [s]más[/s] [b]Esporas[/b]?;
A28;;say;Treya;Muy bien, Treya.;
A29;;say;Treya;Ahora estás nerviosa por estar nerviosa.;
A30;;say;Treya;Será mejor que me aleje.;
