uid;code;type;speaker;text;next
;Treya appears left;;;;
A1;;say;Treya;…;
A2;;say;Treya;El camino a Guardoblanco…;
A3;UI off;;;;
A4;guardoblanco Bg;;;;
A5;UI wait 1;;;;
A6;;say;Treya;¿Habrá mucha gente de noche?;
A7;;say;Treya;¿Y si nos descubren?;
A8;;say;Treya;No... No debo preocuparme tanto.;
A9;;say;Treya;Simplemente es pasar por el camino.;
A10;;say;Treya;No puede ser tan complicado.;
A10;UI off;;;;
A11;Bg vanish;;;;
A12;;say;Treya;No puedo fallar.;
A13;;say;Treya;No [s]debo[/s] fallar.;
A14;;say;Treya;Es mi oportunidad para ascender.;
A15;;say;Treya;Depues de eso todavía queda un largo camino.;
A16;;say;Treya;Por suerte, no estaré sola.;
A17;;say;Treya;Tendré…;
A18;;say;Treya;Tendré  a Fled.;
A19;;say;Treya;De todos los guerreros Jaleanos del mundo.;
A20;;say;Treya;¿Por que tuvo que ser él?;
A21;;say;Treya;Espero que no llame la atención de nadie.;
A22;;say;Treya;Y que sea… serio.;
A23;;say;Treya;"""Se trabaja con lo que se tiene, Treya.""";
A24;;say;Treya;Somos los primeros en ser enviados.;
A25;;say;Treya;Mandaré un mensaje cuando hallamos llegado a la frontera con Durnak.;
A26;;say;Treya;Todo depende de mi [b]esta[/b]  vez.;
A27;;say;Treya;Confian en mi, en mi habiliad.;
A28;;say;Treya;En mis [s]elecciones[/s].;
A29;;say;Treya;…;
A30;;say;Treya;Y en Fled.;
